City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Norman Wells,CA,65.282,-126.8329,18.34,92,97,2.53,overcast clouds
187,Baruun-Urt,MN,46.6806,113.2792,19.29,50,13,5.99,few clouds
188,Khani,GE,41.9563,42.9566,44.17,97,96,2.01,overcast clouds
189,Hambantota,LK,6.1241,81.1185,74.48,93,100,5.28,overcast clouds
190,Jagüey Grande,CU,22.5269,-81.1286,88.43,49,5,7.81,light rain
191,Tura,IN,25.5198,90.2201,62.47,90,0,3.22,clear sky
192,Ixtapa,MX,20.7,-105.2,79.23,65,95,1.99,overcast clouds
193,Kirakira,SB,-10.4544,161.9205,79.02,80,62,1.72,broken clouds
194,Catherinas Lust,GY,6.4,-57.6,84.99,69,68,10.45,broken clouds
195,Rodeo,US,38.033,-122.2669,53.38,78,0,4.0,clear sky
196,Puerto Barrios,GT,15.7167,-88.6,82.54,71,68,4.07,light rain
197,Lander,US,42.833,-108.7307,32.59,66,41,2.53,scattered clouds
198,Nome,US,64.5011,-165.4064,11.16,92,34,5.55,scattered clouds
199,Iskateley,RU,67.6803,53.1512,6.28,99,79,4.88,broken clouds
200,High Level,CA,58.5169,-117.136,18.72,94,75,3.0,broken clouds
201,Governador Valadares,BR,-18.8511,-41.9494,89.04,54,78,2.84,broken clouds
202,Bridlington,GB,54.0831,-0.1919,52.02,92,0,5.99,clear sky
203,Strezhevoy,RU,60.7333,77.5889,17.91,94,100,12.97,light snow
204,Willemstad,CW,12.1084,-68.9335,85.91,74,40,9.22,scattered clouds
205,Nguru,NG,12.8791,10.4526,81.84,15,58,9.46,broken clouds
206,Tegul'det,RU,57.3064,88.1667,32.29,98,100,7.07,light snow
207,Nikolskoye,RU,59.7035,30.7861,35.8,94,48,4.0,scattered clouds
208,Kaitangata,NZ,-46.2817,169.8464,50.16,96,86,3.42,overcast clouds
209,Martinsville,US,36.6915,-79.8725,45.18,51,100,4.14,overcast clouds
210,Kokopo,PG,-4.352,152.2633,77.32,79,100,3.62,overcast clouds
211,Suslovo,RU,56.2167,88.1167,34.74,85,100,12.8,overcast clouds
212,Jianning,CN,27.8333,113.15,49.78,82,100,4.43,overcast clouds
213,Cayenne,GF,4.9333,-52.3333,87.84,66,40,11.5,scattered clouds
214,Ponta do Sol,PT,32.6667,-17.1,75.0,84,96,2.59,overcast clouds
215,Namatanai,PG,-3.6667,152.4333,78.49,81,97,6.17,overcast clouds
216,Novobirilyussy,RU,56.9514,90.6661,32.85,98,100,8.5,light snow
217,Makakilo City,US,21.3469,-158.0858,71.98,86,4,11.39,clear sky
218,Tiksi,RU,71.6872,128.8694,-9.99,93,100,16.17,overcast clouds
219,Ambāla,IN,30.3783,76.7808,67.8,51,93,3.94,overcast clouds
220,Saint-Joseph,RE,-21.3667,55.6167,70.18,73,56,15.66,broken clouds
221,Monrovia,LR,6.3005,-10.7969,79.97,79,48,9.01,light rain
222,Arua,UG,3.0201,30.9111,64.56,89,73,3.85,light rain
223,Aklavik,CA,68.2191,-135.0107,15.33,95,100,11.72,light snow
224,Ushtobe,KZ,45.2514,77.9838,45.34,42,100,5.91,overcast clouds
225,Burnie,AU,-41.0667,145.9167,41.94,76,38,17.49,scattered clouds
226,Torbat-e Jām,IR,35.244,60.6225,49.42,43,0,1.74,clear sky
227,Tolcayuca,MX,19.95,-98.9167,67.28,49,9,4.47,clear sky
228,Coruripe,BR,-10.1256,-36.1756,83.21,66,28,11.99,scattered clouds
229,Richards Bay,ZA,-28.783,32.0377,67.68,74,11,5.55,few clouds
230,Kayerkan,RU,69.3497,87.7602,-21.68,83,83,3.49,broken clouds
231,Port Hedland,AU,-20.3167,118.5667,73.45,88,4,8.05,clear sky
232,Narsaq,GL,60.9167,-46.05,39.42,78,86,4.5,overcast clouds
233,Aksarayskiy,RU,46.7924,48.0119,41.41,56,100,19.26,overcast clouds
234,Calabar,NG,4.9517,8.322,80.44,76,91,5.61,overcast clouds
235,Peniche,PT,39.3558,-9.3811,64.29,92,100,10.0,overcast clouds
236,Pangnirtung,CA,66.1451,-65.7125,6.13,87,77,3.98,broken clouds
237,Bouillante,GP,16.1304,-61.7692,85.37,73,29,14.32,scattered clouds
238,Greenwood,US,34.1668,-82.1165,48.27,53,0,8.05,clear sky
239,Bogashevo,RU,56.3683,85.1447,33.75,93,75,11.18,light shower snow
240,Rocha,UY,-34.4833,-54.3333,73.67,65,89,18.3,overcast clouds
241,Khor,RU,47.8861,134.9464,25.14,49,97,5.23,overcast clouds
242,Puerto Suárez,BO,-18.95,-57.8,89.51,51,84,4.7,broken clouds
243,College,US,64.8569,-147.8028,28.35,89,100,10.36,light snow
244,Mayo,US,38.8876,-76.5119,49.21,49,40,6.91,scattered clouds
245,Ambanja,MG,-13.6833,48.45,74.84,90,65,2.01,moderate rain
246,Turaif,SA,31.6725,38.6637,66.09,61,71,10.18,broken clouds
247,Jiazi,CN,22.8779,116.067,70.27,87,22,11.34,few clouds
248,Haapiti,PF,-17.5667,-149.8667,76.73,74,90,7.7,overcast clouds
249,Babu,CN,24.4167,111.5167,64.72,60,100,5.99,overcast clouds
250,Port Elizabeth,ZA,-33.918,25.5701,73.09,77,65,21.83,broken clouds
251,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,23.02,light snow
252,Kieta,PG,-6.2167,155.6333,78.01,78,100,0.74,overcast clouds
253,Camacupa,AO,-12.0167,17.4833,65.23,83,98,5.37,moderate rain
254,Vardø,NO,70.3705,31.1107,31.98,74,20,9.22,few clouds
255,Okato,NZ,-39.2,173.8833,59.18,98,6,1.99,clear sky
256,Ouagadougou,BF,12.3642,-1.5383,91.47,15,1,10.18,clear sky
257,Mossamedes,AO,-15.1961,12.1522,70.25,70,37,11.63,scattered clouds
258,Lac du Bonnet,CA,50.2536,-96.0612,23.47,81,100,6.87,overcast clouds
259,Caravelas,BR,-17.7125,-39.2481,85.12,57,92,11.83,overcast clouds
260,Saint-Pierre,RE,-21.3393,55.4781,72.91,73,20,16.11,few clouds
261,Palencia,ES,42.4167,-4.5,54.79,65,99,15.17,overcast clouds
262,Neuquén,AR,-38.9516,-68.0591,75.33,30,86,26.55,overcast clouds
263,Guaíra,BR,-20.3183,-48.3106,80.44,64,53,4.81,broken clouds
264,Paamiut,GL,61.994,-49.6678,31.51,89,100,19.44,overcast clouds
265,Snåase,NO,64.2457,12.3778,40.41,95,100,0.67,overcast clouds
266,Saint Anthony,US,45.0205,-93.218,28.65,91,100,12.66,mist
267,Kpandu,GH,6.9954,0.2931,84.58,64,72,3.4,broken clouds
268,Makkah al Mukarramah,SA,21.4267,39.8261,81.05,67,19,6.8,few clouds
269,São Filipe,CV,14.8961,-24.4956,76.98,72,78,10.51,broken clouds
270,Sinnamary,GF,5.3833,-52.95,83.82,72,31,11.12,scattered clouds
271,Mahébourg,MU,-20.4081,57.7,73.69,64,75,11.5,broken clouds
272,Bondoukou,CI,8.0333,-2.8,86.02,49,55,4.74,broken clouds
273,Kyzyl-Suu,KG,42.3414,78.0056,31.26,63,98,10.22,overcast clouds
274,Divnomorskoye,RU,44.5011,38.1353,49.23,69,4,7.67,clear sky
275,Asău,RO,46.4333,26.4,42.28,89,27,0.72,scattered clouds
276,Port Lincoln,AU,-34.7333,135.8667,53.8,58,57,13.49,broken clouds
277,Poum,NC,-20.2333,164.0167,74.95,81,4,9.01,clear sky
278,Merauke,ID,-8.4667,140.3333,79.63,85,100,7.67,overcast clouds
279,Bilibino,RU,68.0546,166.4372,-10.1,100,94,2.17,overcast clouds
280,Mattru,SL,7.6244,-11.8332,83.07,75,84,2.08,light rain
281,Yumen,CN,40.2833,97.2,34.29,30,35,5.99,scattered clouds
282,Bañón,ES,40.8382,-1.1909,61.86,72,0,3.44,clear sky
283,Waddān,LY,29.1614,16.139,69.19,34,13,5.99,few clouds
284,Taoudenni,ML,22.6783,-3.9836,88.5,10,5,8.9,clear sky
285,High River,CA,50.5834,-113.8687,35.31,71,100,5.48,overcast clouds
286,Kupang,ID,-10.1667,123.5833,80.19,85,46,5.55,scattered clouds
287,Novoagansk,RU,61.9449,76.6625,6.19,92,100,14.7,overcast clouds
288,Boguchany,RU,58.3814,97.4531,5.88,98,90,3.83,overcast clouds
289,Iúna,BR,-20.3458,-41.5358,80.29,68,94,6.06,overcast clouds
290,Lompoc,US,34.6391,-120.4579,55.85,66,0,4.61,clear sky
291,Port Hardy,CA,50.6996,-127.4199,39.83,86,3,3.94,clear sky
292,Leningradskiy,RU,69.3833,178.4167,10.8,84,100,5.21,overcast clouds
293,General Roca,AR,-39.0333,-67.5833,76.62,27,40,25.66,scattered clouds
294,Kralendijk,BQ,12.15,-68.2667,82.47,77,74,13.09,broken clouds
295,Sulangan,PH,11.1373,123.7228,82.74,79,84,11.81,broken clouds
296,Egvekinot,RU,66.3167,-179.1667,2.64,100,100,0.34,overcast clouds
297,Reconquista,AR,-29.15,-59.65,83.73,19,0,18.3,clear sky
298,Coquimbo,CL,-29.9533,-71.3436,69.35,56,0,9.98,clear sky
299,Marawi,PH,7.9986,124.2928,69.1,94,100,2.08,overcast clouds
300,Pangody,RU,65.85,74.4859,-4.18,80,100,12.53,overcast clouds
301,Beringovskiy,RU,63.05,179.3167,28.36,84,100,13.58,overcast clouds
302,Aykhal,RU,66.0,111.5,-20.97,100,31,2.68,scattered clouds
303,Isangel,VU,-19.55,169.2667,75.27,84,1,7.7,clear sky
304,Yangi Marg`ilon,UZ,40.4272,71.7189,43.52,75,86,2.3,mist
305,Half Moon Bay,US,37.4636,-122.4286,54.01,82,0,5.75,clear sky
306,Preobrazheniye,RU,42.9019,133.9064,34.9,53,2,6.69,clear sky
307,Mana,GF,5.6592,-53.7767,83.82,73,27,11.5,scattered clouds
308,Whitianga,NZ,-36.8333,175.7,57.88,93,32,7.74,scattered clouds
309,Sept-Îles,CA,50.2001,-66.3821,30.06,86,100,3.0,overcast clouds
310,Kavieng,PG,-2.5744,150.7967,82.24,74,89,10.54,overcast clouds
311,Hasaki,JP,35.7333,140.8333,55.22,59,98,9.1,overcast clouds
312,Cascais,PT,38.6979,-9.4215,65.97,97,75,13.0,broken clouds
313,Pevek,RU,69.7008,170.3133,-1.46,97,100,4.0,overcast clouds
314,Flinders,AU,-34.5833,150.8552,63.18,74,7,7.0,clear sky
315,Rawson,AR,-43.3002,-65.1023,71.69,34,49,6.53,scattered clouds
316,Jinxiang,CN,27.4327,120.6062,61.7,92,100,9.55,overcast clouds
317,Carndonagh,IE,55.25,-7.2667,49.62,86,62,13.47,broken clouds
318,Eunice,US,30.4944,-92.4176,53.49,59,96,9.17,overcast clouds
319,Bintulu,MY,3.1667,113.0333,76.59,90,100,2.82,light rain
320,Santa Rosa,PH,14.3122,121.1114,82.38,88,53,7.45,broken clouds
321,Tot'ma,RU,59.9747,42.7642,27.0,92,55,7.38,broken clouds
322,Laas,IT,46.6166,10.7002,42.03,88,98,2.13,overcast clouds
323,Goderich,CA,43.7501,-81.7165,34.92,65,100,5.7,overcast clouds
324,Airai,TL,-8.9266,125.4092,62.33,90,96,0.49,overcast clouds
325,Nelson Bay,AU,-32.7167,152.15,64.0,78,0,7.0,clear sky
326,Bengkulu,ID,-3.8004,102.2655,75.11,90,100,9.17,overcast clouds
327,Ginda,IN,30.6945,78.4932,48.45,87,100,1.41,overcast clouds
328,Klamath Falls,US,42.2249,-121.7817,30.06,85,0,1.99,clear sky
329,Upernavik,GL,72.7868,-56.1549,20.41,90,99,17.34,overcast clouds
330,Urengoy,RU,65.9667,78.3667,-8.55,82,100,10.47,overcast clouds
331,Krasnosel'kup,RU,65.7,82.4667,-14.76,84,59,9.17,broken clouds
332,Fare,PF,-16.7,-151.0167,78.78,79,93,12.1,light rain
333,Talnakh,RU,69.4865,88.3972,-24.32,86,85,3.85,overcast clouds
334,Cidreira,BR,-30.1811,-50.2056,80.33,56,71,8.32,broken clouds
335,Mirny,RU,62.5353,113.9611,-27.62,100,12,2.66,few clouds
336,Hirara,JP,24.8,125.2833,74.1,74,99,15.1,overcast clouds
337,Lavrentiya,RU,65.5833,-171.0,15.69,79,59,7.05,broken clouds
338,Sur,OM,22.5667,59.5289,79.48,66,0,0.81,clear sky
339,Mayumba,GA,-3.432,10.6554,77.79,79,73,7.4,broken clouds
340,Meadow Lake,US,34.8014,-106.5436,43.84,51,41,2.95,scattered clouds
341,Portland,US,45.5234,-122.6762,46.11,80,0,10.0,clear sky
342,Lake City,US,30.1897,-82.6393,66.85,67,100,8.05,overcast clouds
343,Siocon,PH,7.7061,122.1353,79.27,86,100,2.48,overcast clouds
344,Aden,YE,12.7794,45.0367,79.79,73,14,9.75,few clouds
345,Ajdabiya,LY,30.7554,20.2263,66.25,50,0,6.08,clear sky
